name,id,used
2Pac,1ZwdS5xdxEREPySFridCfh,false
2 Chainz,17lzZA2AlOHwCwFALHttmp,false
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,false
311,41q0hrwwbtuukjc7c1rp6k,false
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,false
50 Cent,3q7HBObVc0L8jNeTe5Gofh,false
A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,false
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,false
Aaliyah,0urTpYCsixqZwgNTkPJOJ4,false
ABBA,0LcJLqbBmaGUft1e9Mm8HV,false
AC/DC,711MCceyCBcFnzjGY4Q7Un,false
Adele,4dpARuHxo51G3z768sgnrY,false
Addison Rae,4gvjmrtzydbMpyJaXUtwvP,false
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,false
Afrojack,4D75GcNG95ebPtNvoNVXhz,false
AJR,6s22t5Y3prQHyaHWUN1R1C,false
Alanis Morissette,6ogn9necmbUdCppmNnGOdi,false
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,false
Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,false
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,false
Al Green,3dkbV4qihUeMsqN4vBGg93,false
All Time Low,46gyXjRIvN1NL1eCB8GBxo,false
The All American Rejects,3vAaWhdBR38Q02ohXqaNHT,false
The Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,false
The Alchemist,0eVyjRhzZKke2KFYTcDkeu,false
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,false
Anitta,7dzq55YG3wjViqexDwiycQ,false
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,false
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,false
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,false
Arrested Development,5Va9LuEmaZxnbk1gMnjMD7,false
Audioslave,2ziB7fzrXBoh1HUPS6sVFn,false
Avicii,1vCWHaC5f2uS3yhpwWbIA6,false
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,false
Bad Bunny,4q3ewBCX7sLwd24euuV69X,false
BADBADNOTGOOD,65dGLGjkw3UbddUg2GKQoZ,false
The Bangles,51l0uqRxGaczYr4271pVIC,false
Barenaked Ladies,0dEvJpkqhrcn64d3oI8v79,false
Barry White,3rfgbfpPSfXY40lzRK7Syt,false
Bastille,7EQ0qTo7fWT7DPxmxtSYEc,false
BBNO$,41X1TR6hrK8Q2ZCpp2EqCz,false
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,false
Beastie Boys,03r4iKL2g2442PT9n2UKsx,false
Beabadoobee,35l9BRT7MXmM8bv2WDQiyB,false
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,false
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,false
Beck,3vbKDsSS70ZX9D2OcvbZmS,false
Bee Gees,1LZEQNv7sE11VDY3SdxQeN,false
Benson Boone,22wbnEMDvgVIAGdFeek6ET,false
Beyonce,6vWDO969PvNqNYHIOW5v0m,false
Big Sean,0c173mlxpT3dSFRgMO8XPh,false
BigXthaPlug,6qxpnaukVayrQn6ViNvu9I,false
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,false
Billie Joe Armstrong,1MrEurzLcL8ugfP1PrUPWG,false
Billy Idol,7lzordPuZEXxwt9aoVZYmG,false
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,false
Björk,7w29UYBi0qsHi5RTcv3lmA,false
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,false
The Black Crowes,5krkohEVJYw0qoB5VWwxaC,false
The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,false
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,false
Blackpink,41MozSoPIsD1dJM0CLPjZF,false
Blake Shelton,1UTPBmNbXNTittyMJrNkvw,false
Blind Melon,5sD1ZLf2dGQ9gQ3YJl1eAd,false
Blink-182,6FBDaR13swtiWwGhX1WQsP,false
Blur,7MhMgCo0Bl0Kukl93PZbYS,false
B.o.B,5ndkK3dpZLKtBklKjxNQwT,false
Bob Dylan,74ASZWbe4lXaubB36ztrGX,false
Bob Marley,2QsynagSdAqZj3U9HgDzjD,false
Bob Seger,485uL27bPomh29R4JmQehQ,false
Bobby Brown,62sPt3fswraiEPnKQpAbdE,false
Bobby Caldwell,4V4Z3qMCwYofWHtip6ePF6,false
Bon Jovi,58lV9VcRSjABbAbfWS6skp,false
Boston,29kkCKKGXheHuoO829FxWK,false
Boyz II Men,6O74knDqdv3XaWtkII7Xjp,false
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,false
Bright Eyes,5o206eFLx38glA2bb4zqIU,false
Britney Spears,26dSoYclwsYLMAKD3tpOr4,false
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,false
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,false
Bryan Adams,3Z02hBLubJxuFJfhacLSDc,false
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,false
Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,false
Bush,78SHxLdtysAXgywQ4vE0Oa,false
BTS,3Nrfpe0tUJi4K4DXYWgMUX,false
Burna Boy,3wcj11K77LjEY1PkEazffa,false
Calvin Harris,7CajNmpbOovFoOoasH2HaY,false
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,false
Cardi B,4kYSro6naA4h99UJvo89HB,false
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,false
The Cars,6DCIj8jNaNpBz8e5oKFPtp,false
Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,false
Central Cee,5H4yInM5zmHqpKIoMNAx4r,false
Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,false
Chance The Rapper,1anyVhU62p31KFi8MEzkbf,false
Charli XCX,25uiPmTg16RbhZWAqwLBy5,false
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,false
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,false
Chicago,3iDD7bnsjL9J4fO298r0L0,false
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,false
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,false
Chris Stapleton,4YLtscXsxbVgi031ovDDdh,false
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,false
Chuck Berry,293zczrfYafIItmnmM3coR,false
Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,false
Clairo,3l0CmX0FuQjFxr8SK7Vqag,false
The Clash,3RGLhK1IP9jnYFH4BRFJBS,false
Clipse,2J257euzcjnDLipsyJH3F2,false
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,false
Commodores,6twIAGnYuIT1pncMAsXnEm,false
Common,2GHclqNVjqGuiE5mA7BEoc,false
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,false
Coolio,3y24n3XhZ96wgwRXjvS17T,false
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,false
Cream,74oJ4qxwOZvX6oSsu1DGnw,false
Creed,43sZBwHjahUvgbx1WNIkIz,false
"Crosby, Stills, Nash, & Young",1CYsQCypByMVgnv17qsSbQ,false
The Cure,7bu3H8JO7d0UbMoVzbo70s,false
Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,false
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,false
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,false
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,false
Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,false
The Dandy Warhols,7siPLyFwRFYQkKgWKJ5Sod,false
Daughtry,5P5FTygHyx2G57oszR3Wot,false
Dave Matthews Band,2TI7qyDE0QfyOlnbtfDo7L,false
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,false
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,false
De La Soul,1Z8ODXyhEBi3WynYw0Rya6,false
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,false
Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,false
Deftones,6Ghvu1VvMGScGpOUJBAHNH,false
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,false
Depeche Mode,762310PdDnwsDxAQxzQkfX,false
Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,false
Dijon,0knGpCTbmG4ctl1wzYRZs4,false
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,false
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,false
DJ Jazzy Jeff & The Fresh Prince,1mG23iQeR29Ojhq89D5gbh,false
DJ Snake,540vIaP2JwjQb9dm3aArA4,false
Doechii,4E2rKHVDssGJm2SCDOMMJB,false
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,false
Don Henley,5dbuFbrHa1SJlQhQX9OUJ2,false
Don Toliver,4Gso3d4CscCijv0lmajZWs,false
Donovan,6vLlQYujOujIrm7zAKzEdG,false
The Doors,22WZ7M8sxp5THdruNY3gXt,false
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,false
Drake,3TVXtAsR1Inumwj472S9r4,false
Dream Theater,2aaLAng2L2aWD2FClzwiep,false
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,false
Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,false
Dusty Springfield,5zaXYwewAXedKNCff45U5l,false
Eagles,0ECwFtbIWEVNwjlrfc6xoL,false
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,false
"Earth, Wind, & Fire",4QQgXkCYTt3BlENzhyNETg,false
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,false
Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,false
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,false
Elton John,3PhoLpVuITZKcymswpck5b,false
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,false
Eminem,7dGJo4pcD2V6oG8kP0tJRR,false
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,false
Enya,6uothxMWeLWIhsGeF7cyo4,false
Eric B. & Rakim,6jHG1YQkqgojdEzerwvrVv,false
Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,false
Ethel Cain,0avMDS4HyoCEP6RqZJWpY2,false
Etta James,0iOVhN3tnSvgDbcg25JoJb,false
Eurythmics,0NKDgy9j66h3DLnN8qu1bB,false
Evanescence,5nGIFgo0shDenQYSE0Sn7c,false
Faith No More,6GbCJZrI318Ybm8mY36Of5,false
Falling in reverse,2CmaKO2zEGJ1NWpS1yfVGz,false
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,false
Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,false
Fitz and the Tantrums,4AcHt3JxKy59IX7JNNlZn4,false
The Flaming Lips,16eRpMNXSQ15wuJoeqguaB,false
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,false
Flo Rida,0jnsk9HBra6NMjO2oANoPY,false
Flo Milli,08PvCOlef4xdOr20jFSTPd,false
Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,false
Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,false
Foreigner,6IRouO5mvvfcyxtPDKMYFN,false
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,false
Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,false
Frank Zappa & The Mothers of Invention,6ra4GIOgCZQZMOaUECftGN,false
Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,false
Fred again...,4oLeXFyACqeem2VImYeBFe,false
Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,false
Fugazi,62sC6lUEWRjbFqXpMmOk4G,false
Fun.,5nCi3BB41mBaMH9gfr6Su0,false
Future,1RyvyyTE3xzB2ZywiAwp0i,false
G-Eazy,02kJSzxNuaWGqwubyUba0Z,false
Garbage,6S0GHTqz5sxK5f9HtLXn9q,false
Genesis,3CkvROUTQ6nRi9yQOcsB50,false
George Harrison,7FIoB5PHdrMZVC3q2HE5MS,false
George Michael / Wham!,5lpH0xAS4fVfLkACg9DAuM,false
George Strait,5vngPClqofybhPERIqQMYd,false
G Herbo,5QdEbQJ3ylBnc3gsIASAT5,false
Giveon,4fxd5Ee7UefO4CUXgwJ7IP,false
Gladys Knight & The Pips,0TF2NxkJZPQoX1H53rEFM1,false
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,false
GloRilla,2qoQgPAilErOKCwE2Y8wOG,false
Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,false
Good Charlotte,5aYyPjAsLj7UzANzdupwnS,false
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,false
Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,false
Grandmaster Flash & The Furious Five,5hQCwevTf03u1rECrRMeop,false
The Grateful Dead,4TMHGUX5WI7OOm53PqSDAT,false
Green Day,7oPftvlwr6VrsViSDV7fJY,false
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,false
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,false
H.E.R.,3Y7RZ31TRPVadSFVy1o8os,false
Hall & Oates,77tT1kLj6mCWtFNqiOmP9H,false
Halsey,26VFTg2z8YR0cCuwLzESi2,false
Hamilton Cast,3UUJfRbrA2nTbcg4i0MOwu,false
Harry Styles,6KImCVD70vtIoJWnq6nGn3,false
Heart,34jw2BbxjoYalTp8cJFCPv,false
Hole,5SHQUMAmEK5KmuSb0aDvsn,false
Hootie & The Blowfish,08ct2eZF5lUPdJpHwNKWof,false
Hozier,2FXC3k01G6Gw61bmprjgqS,false
Huey Lewis and the News,7A9yZMTrFZcgEWAX2kBfK6,false
Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,false
Ice Spice,3LZZPxNDGDFVSIPqf4JuEf,false
Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,false
Iggy Pop,33EUXrFKGjpUSGacqEHhU4,false
Ike & Tina Turner,1ZikppG9dPedbIgMfnfx8k,false
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,false
Incubus,3YcBF2ttyueytpXtEzn1Za,false
INXS,1eClJfHLoDI4rZe5HxzBFv,false
Interpol,3WaJSfKnzc65VDgmj2zU8B,false
Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,false
Iron Maiden,6mdiAmATAx73kdxrNrnlao,false
The Isley Brothers,53QzNeFpzAaXYnrDBbDrIp,false
Jack Johnson,3GBPw9NK25X1Wt2OUvOwY3,false
The Jackson Five,2iE18Oxc8YSumAU232n4rW,false
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,false
James Brown,7GaxyUddsPok8BuhxN6OUW,false
James Taylor,0vn7UBvSQECKJm2817Yf1P,false
Jamiroquai,6J7biCazzYhU3gM9j1wfid,false
Jane's Addiction,02NfyD6AlLA12crYzw5YcR,false
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,false
Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,false
Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,false
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,false
Jay-Z,3nFkdlSjzX9mRTtwJOzDYB,false
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,false
Jeff Buckley,3nnQpaTvKb5jCQabZefACI,false
Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,false
Jeremih,3KV3p5EY4AvKxOlhGHORLg,false
Jill Scott,6AVLthptCPhfrxlHadOBJD,false
The Jimi Hendrix Experience,776Uo845nYHJpNaStv1Ds4,false
J.I.D,6U3ybJ9UHNKEdsH7ktGBZ7,false
John Legend,5y2Xq6xcjJb2jVM54GHK3t,false
John Lennon,4x1nvY2FN8jxqAFA0DA02H,false
John Mayer,0hEurMDQu99nJRq8pTxO14,false
John Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH,false
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,false
Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,false
Journey,0rvjqX7ttXeg3mTy8Xscbt,false
Juicy J,5gCRApTajqwbnHHPbr2Fpi,false
Judas Priest,2tRsMl4eGxwoNabM08Dm4I,false
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,false
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,false
Justin Timberlake,31TPClRtHm23RisEBtV3X7,false
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,false
Kansas,2hl0xAkS2AIRAu23TVMBG1,false
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,false
Karol G,790FomKkXshlbRYZFtlgla,false
Katy Perry,6jJ0s89eD6GaHleKKya26X,false
Kaytranada,6qgnBH6iDM91ipVXv28OMu,false
Kehlani,0cGUm45nv7Z6M6qdXYQGTX,false
Keith Urban,0u2FHSq3ln94y5Q57xazwf,false
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,false
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,false
Kenny G,6I3M904Y9IwgDjrQ9pANiB,false
Kenny Loggins,3Y3xIwWyq5wnNHPp5gPjOW,false
Kenny Wayne Shepherd Band,1riHqX633Kup3mJAw8WR8p,false
Kesha,6LqNN22kT3074XbTVUrhzX,false
Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,false
